passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,dominant_emotion,dominant_count,rate_per_1000_words,lexicon_source
ch10_p005,"Ch. 10: Making a Career Change, passage 5",10,Making a Career Change,5,250,trust,17,68,NRC lexicon via tidytext/textdata
ch10_p006,"Ch. 10: Making a Career Change, passage 6",10,Making a Career Change,6,303,anticipation,14,46.2046204620462,NRC lexicon via tidytext/textdata
ch10_p007,"Ch. 10: Making a Career Change, passage 7",10,Making a Career Change,7,248,trust,9,36.29032258064517,NRC lexicon via tidytext/textdata
ch10_p008,"Ch. 10: Making a Career Change, passage 8",10,Making a Career Change,8,269,trust,13,48.32713754646841,NRC lexicon via tidytext/textdata
ch10_p009,"Ch. 10: Making a Career Change, passage 9",10,Making a Career Change,9,241,trust,16,66.39004149377594,NRC lexicon via tidytext/textdata
ch10_p010,"Ch. 10: Making a Career Change, passage 10",10,Making a Career Change,10,241,trust,11,45.64315352697095,NRC lexicon via tidytext/textdata
ch10_p011,"Ch. 10: Making a Career Change, passage 11",10,Making a Career Change,11,187,trust,15,80.21390374331551,NRC lexicon via tidytext/textdata
ch11_p001,"Ch. 11: Post Rio to Retirement, passage 1",11,Post Rio to Retirement,1,251,anticipation,7,27.888446215139442,NRC lexicon via tidytext/textdata
ch11_p002,"Ch. 11: Post Rio to Retirement, passage 2",11,Post Rio to Retirement,2,237,trust,5,21.09704641350211,NRC lexicon via tidytext/textdata
ch11_p003,"Ch. 11: Post Rio to Retirement, passage 3",11,Post Rio to Retirement,3,236,trust,9,38.13559322033898,NRC lexicon via tidytext/textdata
ch11_p004,"Ch. 11: Post Rio to Retirement, passage 4",11,Post Rio to Retirement,4,273,anticipation,7,25.64102564102564,NRC lexicon via tidytext/textdata
ch11_p005,"Ch. 11: Post Rio to Retirement, passage 5",11,Post Rio to Retirement,5,242,trust,10,41.32231404958678,NRC lexicon via tidytext/textdata
ch11_p006,"Ch. 11: Post Rio to Retirement, passage 6",11,Post Rio to Retirement,6,246,joy,5,20.32520325203252,NRC lexicon via tidytext/textdata
ch11_p007,"Ch. 11: Post Rio to Retirement, passage 7",11,Post Rio to Retirement,7,247,anticipation,6,24.291497975708502,NRC lexicon via tidytext/textdata
ch11_p008,"Ch. 11: Post Rio to Retirement, passage 8",11,Post Rio to Retirement,8,234,trust,5,21.367521367521366,NRC lexicon via tidytext/textdata
ch11_p009,"Ch. 11: Post Rio to Retirement, passage 9",11,Post Rio to Retirement,9,231,anticipation,7,30.303030303030305,NRC lexicon via tidytext/textdata
ch11_p010,"Ch. 11: Post Rio to Retirement, passage 10",11,Post Rio to Retirement,10,230,trust,7,30.434782608695652,NRC lexicon via tidytext/textdata
ch11_p011,"Ch. 11: Post Rio to Retirement, passage 11",11,Post Rio to Retirement,11,233,trust,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch11_p012,"Ch. 11: Post Rio to Retirement, passage 12",11,Post Rio to Retirement,12,236,trust,15,63.559322033898304,NRC lexicon via tidytext/textdata
ch11_p013,"Ch. 11: Post Rio to Retirement, passage 13",11,Post Rio to Retirement,13,238,trust,7,29.41176470588235,NRC lexicon via tidytext/textdata
ch11_p014,"Ch. 11: Post Rio to Retirement, passage 14",11,Post Rio to Retirement,14,233,anticipation,5,21.459227467811157,NRC lexicon via tidytext/textdata
ch11_p015,"Ch. 11: Post Rio to Retirement, passage 15",11,Post Rio to Retirement,15,198,anticipation,9,45.45454545454545,NRC lexicon via tidytext/textdata
