passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,sentiment,count,rate_per_1000_words,lexicon_source
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,fear,4,15.384615384615385,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,joy,12,46.15384615384615,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,negative,7,26.923076923076923,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,positive,19,73.07692307692308,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,sadness,5,19.230769230769234,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,surprise,2,7.6923076923076925,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,trust,16,61.53846153846154,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,anger,0,0,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,disgust,0,0,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,fear,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,joy,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,negative,2,8.264462809917356,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,positive,11,45.45454545454545,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,sadness,3,12.396694214876034,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,surprise,0,0,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,trust,6,24.793388429752067,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,anger,0,0,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,disgust,1,4.132231404958678,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,fear,3,12.396694214876034,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,joy,6,24.793388429752067,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,negative,6,24.793388429752067,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,positive,11,45.45454545454545,NRC lexicon via tidytext/textdata
