id,label,short_label,type,group,chapter,title,value
place_virginia,Virginia,Virginia,Place,Place,NA,"Virginia
Type: Place
Review status: unreviewed seed
Total mentions: 16.9705627484771",16.97056274847714
place_california,California,California,Place,Place,NA,"California
Type: Place
Review status: unreviewed seed
Total mentions: 16.4924225024706",16.492422502470642
place_arizona,Arizona,Arizona,Place,Place,NA,"Arizona
Type: Place
Review status: unreviewed seed
Total mentions: 16",16
place_montevideo,Montevideo,Montevideo,Place,Place,NA,"Montevideo
Type: Place
Review status: unreviewed seed
Total mentions: 15.4919333848297",15.491933384829668
place_rio_de_janeiro,Rio De Janeiro,Rio De Janeiro,Place,Place,NA,"Rio De Janeiro
Type: Place
Review status: unreviewed seed
Total mentions: 14.422205101856",14.422205101855956
place_salt_lake_city,Salt Lake City,Salt Lake City,Place,Place,NA,"Salt Lake City
Type: Place
Review status: unreviewed seed
Total mentions: 12",12
place_japan,Japan,Japan,Place,Place,NA,"Japan
Type: Place
Review status: unreviewed seed
Total mentions: 11.3137084989848",11.31370849898476
place_mesa,Mesa,Mesa,Place,Place,NA,"Mesa
Type: Place
Review status: unreviewed seed
Total mentions: 11.3137084989848",11.31370849898476
place_new_york_city,New York City,New York City,Place,Place,NA,"New York City
Type: Place
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
place_logan,Logan,Logan,Place,Place,NA,"Logan
Type: Place
Review status: unreviewed seed
Total mentions: 9.79795897113271",9.797958971132712
place_vietnam,Vietnam,Vietnam,Place,Place,NA,"Vietnam
Type: Place
Review status: unreviewed seed
Total mentions: 9.79795897113271",9.797958971132712
place_boston,Boston,Boston,Place,Place,NA,"Boston
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_corpus_christi,Corpus Christi,Corpus Christi,Place,Place,NA,"Corpus Christi
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_falls_church,Falls Church,Falls Church,Place,Place,NA,"Falls Church
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_pearl_harbor,Pearl Harbor,Pearl Harbor,Place,Place,NA,"Pearl Harbor
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_salmon,Salmon,Salmon,Place,Place,NA,"Salmon
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_shanks_village,Shanks Village,Shanks Village,Place,Place,NA,"Shanks Village
Type: Place
Review status: unreviewed seed
Total mentions: 8.94427190999916",8.94427190999916
place_bremerton,Bremerton,Bremerton,Place,Place,NA,"Bremerton
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_philippines,Philippines,Philippines,Place,Place,NA,"Philippines
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_pomona,Pomona,Pomona,Place,Place,NA,"Pomona
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_san_francisco,San Francisco,San Francisco,Place,Place,NA,"San Francisco
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_far_east,Far East,Far East,Place,Place,NA,"Far East
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_los_angeles,Los Angeles,Los Angeles,Place,Place,NA,"Los Angeles
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_philippine_islands,Philippine Islands,Philippine Islands,Place,Place,NA,"Philippine Islands
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_providence,Providence,Providence,Place,Place,NA,"Providence
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_sao_paulo,Sao Paulo,Sao Paulo,Place,Place,NA,"Sao Paulo
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_treasure_island,Treasure Island,Treasure Island,Place,Place,NA,"Treasure Island
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_atlantic_ocean,Atlantic Ocean,Atlantic Ocean,Place,Place,NA,"Atlantic Ocean
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_concord,Concord,Concord,Place,Place,NA,"Concord
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_hawaii,Hawaii,Hawaii,Place,Place,NA,"Hawaii
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_hill_cumorah,Hill Cumorah,Hill Cumorah,Place,Place,NA,"Hill Cumorah
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_kansas_city,Kansas City,Kansas City,Place,Place,NA,"Kansas City
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_quonset_point,Quonset Point,Quonset Point,Place,Place,NA,"Quonset Point
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
place_rhode_island,Rhode Island,Rhode Island,Place,Place,NA,"Rhode Island
Type: Place
Review status: unreviewed seed
Total mentions: 8",8
